
# Waypoint History - Started at 2026-02-07 22:18:55 - Random Seed 1235

# Waypoint History - Started at 2026-02-07 22:20:09 - Random Seed 1235

# Waypoint History - Started at 2026-02-07 22:21:28 - Random Seed 1235

# Waypoint History - Started at 2026-02-07 22:22:24 - Random Seed 1235
(0.863892, -0.662217, 0.00),  cut
(0.8664, -0.658107, 0.00),  cut
(0.872479, -0.647461, 0.00),  cut
(0.87875, -0.636068, 0.00),  cut
(0.885017, -0.624658, 0.00),  cut
(0.891284, -0.613248, 0.00),  cut
(0.897551, -0.601838, 0.00),  cut
(0.903818, -0.590428, 0.00),  cut
(0.910085, -0.579018, 0.00),  cut
(0.916352, -0.567607, 0.00),  cut
(0.922619, -0.556197, 0.00),  cut
(0.928886, -0.544787, 0.00),  cut
(0.935153, -0.533377, 0.00),  cut
(0.94142, -0.521967, 0.00),  cut
(0.947687, -0.510557, 0.00),  cut
(0.953954, -0.499146, 0.00),  cut
(0.960221, -0.487736, 0.00),  cut
(0.966488, -0.476326, 0.00),  cut
(0.972755, -0.464916, 0.00),  cut
(0.979022, -0.453506, 0.00),  cut
(0.978398, -0.443931, 0.00),  cut
(0.976164, -0.434815, 0.00),  cut
(0.973929, -0.425698, 0.00),  cut
(0.971694, -0.416582, 0.00),  cut
(0.970412, -0.406282, 0.00),  cut
(0.970069, -0.394808, 0.00),  cut
(0.969888, -0.38313, 0.00),  cut
(0.969765, -0.371378, 0.00),  cut
(0.96968, -0.359576, 0.00),  cut
(0.969626, -0.347734, 0.00),  cut
(0.969596, -0.335862, 0.00),  cut
(0.969584, -0.323964, 0.00),  cut
(0.969588, -0.312046, 0.00),  cut
(0.969604, -0.300112, 0.00),  cut
(0.969629, -0.288165, 0.00),  cut
(0.969662, -0.276208, 0.00),  cut
(0.969702, -0.264242, 0.00),  cut
(0.969746, -0.25227, 0.00),  cut
(0.969793, -0.240293, 0.00),  cut
(0.969844, -0.228312, 0.00),  cut
(0.969898, -0.216327, 0.00),  cut
(0.969953, -0.204339, 0.00),  cut
(0.97001, -0.192349, 0.00),  cut
(0.970069, -0.180357, 0.00),  cut
(0.970128, -0.168364, 0.00),  cut
(0.970188, -0.15637, 0.00),  cut
(0.970249, -0.144375, 0.00),  cut
(0.970311, -0.132379, 0.00),  cut
(0.970373, -0.120382, 0.00),  cut
(0.970435, -0.108385, 0.00),  cut
(0.970498, -0.096387, 0.00),  cut
(0.970561, -0.084389, 0.00),  cut
(0.970624, -0.072391, 0.00),  cut
(0.970687, -0.060393, 0.00),  cut
(0.97075, -0.048394, 0.00),  cut
